캠퍼스,대학/교양,학과/전공/영역,개설대학,개설학과,학년,과정,이수구분,과목번호,분반,과목명,학점,시간,담당교수,폐강,강의시간,유연학기,비고,수업유형
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,1,ACT,2,2,김선미,,"월1,2 / 310관 718호 <강의실>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,2,ACT,2,2,김선미,,"월3,4 / 102관 501호 <강의실 (ACT)>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,3,ACT,2,2,김홍중,,"월3,4 / 310관 718호 <강의실>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,4,ACT,2,2,김재경,,"월5,6 / 310관 718호 <강의실>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,5,ACT,2,2,최민지,,"월5,6 / 102관 501호 <강의실 (ACT)>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,6,ACT,2,2,김재경,,"월7,8 / 310관 718호 <강의실>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,7,ACT,2,2,최민지,,"월7,8 / 102관 501호 <강의실 (ACT)>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,8,ACT,2,2,심화영,,"화1,2 / 102관 501호 <강의실 (ACT)>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,9,ACT,2,2,도선재,,"화3,4 / 310관 718호 <강의실>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,10,ACT,2,2,심화영,,"화3,4 / 102관 501호 <강의실 (ACT)>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,11,ACT,2,2,도선재,,"화5,6 / 310관 718호 <강의실>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,12,ACT,2,2,최민지,,"화5,6 / 102관 501호 <강의실 (ACT)>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,13,ACT,2,2,도선재,,"화7,8 / 310관 718호 <강의실>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,14,ACT,2,2,최민지,,"화7,8 / 102관 501호 <강의실 (ACT)>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,15,ACT,2,2,김선미,,"수1,2 / 102관 501호 <강의실 (ACT)>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,16,ACT,2,2,김선미,,"수3,4 / 102관 501호 <강의실 (ACT)>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,17,ACT,2,2,심화영,,"수3,4 / 310관 718호 <강의실>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,18,ACT,2,2,이대영,,"수5,6 / 102관 501호 <강의실 (ACT)>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,19,ACT,2,2,김재경,,"수5,6 / 310관 718호 <강의실>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,20,ACT,2,2,이대영,,"수7,8 / 102관 501호 <강의실 (ACT)>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,21,ACT,2,2,김재경,,"수7,8 / 310관 718호 <강의실>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,22,ACT,2,2,,,"수10,11 / 102관 501호 <강의실 (ACT)>",,공통교양 순수외국인 대상/2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,23,ACT,2,2,최윤주,,"목1,2 / 310관 718호 <강의실>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,24,ACT,2,2,도선재,,"목3,4 / 102관 501호 <강의실 (ACT)>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,25,ACT,2,2,최윤주,,"목3,4 / 310관 718호 <강의실>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,26,ACT,2,2,최민지,,"목5,6 / 102관 501호 <강의실 (ACT)>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,27,ACT,2,2,도선재,,"목5,6 / 310관 718호 <강의실>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,28,ACT,2,2,최민지,,"목7,8 / 102관 501호 <강의실 (ACT)>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,29,ACT,2,2,김수연,,"목7,8 / 310관 718호 <강의실>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,30,ACT,2,2,김수연,,"목10,11 / 310관 718호 <강의실>",,공통교양 순수외국인 대상/2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,31,ACT,2,2,김홍중,,"금1,2 / 102관 501호 <강의실 (ACT)>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,32,ACT,2,2,김홍중,,"금3,4 / 102관 501호 <강의실 (ACT)>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,33,ACT,2,2,김재경,,"금5,6 / 310관 718호 <강의실>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,34,ACT,2,2,최문정,,"금5,6 / 102관 501호 <강의실 (ACT)>",,공통교양 순수외국인 대상/2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,35,ACT,2,2,김재경,,"금7,8 / 310관 718호 <강의실>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,36,ACT,2,2,김수연,,"금11,12 / 310관 718호 <강의실>",,공통교양 2학년 이상 수강 가능[[수강대상 : 지식경영학부]],
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,37,ACT,2,2,도선재,,"토3,4 / 310관 718호 <강의실>",,공통교양 지식경영학부 대상/정정기간 통합여석 적용/2학년 이상 수강 가능[[수강대상 : 지식경영학부]],
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,38,ACT,2,2,김재경,,"토3,4 / 310관 819호 <강의실>",,공통교양 지식경영학부 대상/정정기간 통합여석 적용/2학년 이상 수강 가능[[수강대상 : 지식경영학부]],
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,39,ACT,2,2,최문정,,"월3,4 / 310관 503호 <강의실>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,40,ACT,2,2,최문정,,"금7,8 / 102관 501호 <강의실 (ACT)>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,41,ACT,2,2,,,"화10,11 / 310관 718호 <강의실>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,42301,1,한국사,2,2,이혜영,,"목1,2 / 303관 803호 <강의실>",,공통교양 2학년 이상 수강 가능,
서울,교양,공통교양,대학(전체),,전체,학사,교양,42301,2,한국사,2,2,옥나영,,"월3,4 / 303관 204호 <강의실>",,공통교양 2학년 이상 수강 가능,
